Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-10-23 00:00:00+05:30,26057.19921875,26104.19921875,25862.44921875,25891.400390625,448400,0.0,0.0
2025-10-24 00:00:00+05:30,25935.099609375,25944.150390625,25718.19921875,25795.150390625,284900,0.0,0.0
2025-10-27 00:00:00+05:30,25843.19921875,26005.94921875,25827.0,25966.05078125,266300,0.0,0.0
2025-10-28 00:00:00+05:30,25939.94921875,26041.69921875,25810.05078125,25936.19921875,395200,0.0,0.0
2025-10-29 00:00:00+05:30,25982.0,26097.849609375,25960.30078125,26053.900390625,321900,0.0,0.0
2025-10-30 00:00:00+05:30,25984.400390625,26032.05078125,25845.25,25877.849609375,257400,0.0,0.0
2025-10-31 00:00:00+05:30,25863.80078125,25953.75,25711.19921875,25722.099609375,334400,0.0,0.0
2025-11-03 00:00:00+05:30,25696.849609375,25803.099609375,25645.5,25763.349609375,23300,0.0,0.0
2025-11-04 00:00:00+05:30,25744.75,25787.400390625,25578.400390625,25597.650390625,305100,0.0,0.0
2025-11-06 00:00:00+05:30,25593.349609375,25679.150390625,25491.55078125,25509.69921875,371900,0.0,0.0
2025-11-07 00:00:00+05:30,25433.80078125,25551.25,25318.44921875,25492.30078125,305600,0.0,0.0
2025-11-10 00:00:00+05:30,25503.5,25653.44921875,25503.5,25574.349609375,243600,0.0,0.0
2025-11-11 00:00:00+05:30,25617.0,25715.80078125,25449.25,25694.94921875,297700,0.0,0.0
2025-11-12 00:00:00+05:30,25834.30078125,25934.55078125,25781.150390625,25875.80078125,312600,0.0,0.0
2025-11-13 00:00:00+05:30,25906.099609375,26010.69921875,25808.400390625,25879.150390625,385200,0.0,0.0
2025-11-14 00:00:00+05:30,25767.900390625,25940.19921875,25740.80078125,25910.05078125,518900,0.0,0.0
2025-11-17 00:00:00+05:30,25948.19921875,26024.19921875,25906.349609375,26013.44921875,281800,0.0,0.0
2025-11-18 00:00:00+05:30,26021.80078125,26029.849609375,25876.5,25910.05078125,280000,0.0,0.0
2025-11-19 00:00:00+05:30,25918.099609375,26074.650390625,25856.19921875,26052.650390625,250100,0.0,0.0
2025-11-20 00:00:00+05:30,26132.099609375,26246.650390625,26063.19921875,26192.150390625,240400,0.0,0.0
2025-11-21 00:00:00+05:30,26109.55078125,26179.19921875,26052.19921875,26068.150390625,235600,0.0,0.0
2025-11-24 00:00:00+05:30,26122.80078125,26142.80078125,25912.150390625,25959.5,464700,0.0,0.0
2025-11-25 00:00:00+05:30,25998.5,26032.599609375,25857.5,25884.80078125,260500,0.0,0.0
2025-11-26 00:00:00+05:30,25842.94921875,26215.150390625,25842.94921875,26205.30078125,275300,0.0,0.0
2025-11-27 00:00:00+05:30,26261.25,26310.44921875,26141.900390625,26215.55078125,240300,0.0,0.0
2025-11-28 00:00:00+05:30,26237.44921875,26280.75,26172.400390625,26202.94921875,202500,0.0,0.0
2025-12-01 00:00:00+05:30,26325.80078125,26325.80078125,26124.19921875,26175.75,213800,0.0,0.0
2025-12-02 00:00:00+05:30,26087.94921875,26154.599609375,25997.849609375,26032.19921875,254800,0.0,0.0
2025-12-03 00:00:00+05:30,26004.900390625,26066.44921875,25891.0,25986.0,265700,0.0,0.0
2025-12-04 00:00:00+05:30,25981.849609375,26098.25,25938.94921875,26033.75,248100,0.0,0.0
2025-12-05 00:00:00+05:30,25999.80078125,26202.599609375,25985.349609375,26186.44921875,249300,0.0,0.0
2025-12-08 00:00:00+05:30,26159.80078125,26178.69921875,25892.25,25960.55078125,320700,0.0,0.0
2025-12-09 00:00:00+05:30,25867.099609375,25923.650390625,25728.0,25839.650390625,0,0.0,0.0
